VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
2C4RC1S78M,Snohomish,Snohomish,WA,98290,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,44,182430629,POINT (-122.029605 47.939428),PUGET SOUND ENERGY INC,53061052301
7SAYGDEE2N,King,Bellevue,WA,98006,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41,193698214,POINT (-122.151342 47.560192),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024905
5YJYGDEE7M,Yakima,Yakima,WA,98902,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,171471863,POINT (-120.532719 46.59458),PACIFICORP,53077000800
1N4AZ0CP4F,King,Redmond,WA,98052,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,45,183696866,POINT (-122.122018 47.678465),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032323
1N4BZ0CP2H,Snohomish,Lake Stevens,WA,98258,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,44,124529478,POINT (-122.085999 48.016305),PUGET SOUND ENERGY INC,53061052711
5YJ3E1EB9M,King,Seattle,WA,98117,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36,148565434,POINT (-122.379354 47.687571),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001500
5YJ3E1EBXL,Pierce,Orting,WA,98360,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,31,103405774,POINT (-122.16684 47.053962),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053070206
7SAYGDEF2N,Snohomish,Everett,WA,98201,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,38,207408309,POINT (-122.195157 47.988773),PUGET SOUND ENERGY INC,53061040700
WMZYU7C54K,Thurston,Lacey,WA,98513,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36900,22,146889718,POINT (-122.751179 47.002092),PUGET SOUND ENERGY INC,53067011622
YV4BR00L4N,King,Redmond,WA,98053,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,45,194025562,POINT (-122.024951 47.670286),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032315
1G1RC6E42F,Snohomish,Lake Stevens,WA,98258,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,39,474483257,POINT (-122.085999 48.016305),PUGET SOUND ENERGY INC,53061053603
5YJYGDEEXM,Snohomish,Lynnwood,WA,98036,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,32,168513201,POINT (-122.281856 47.811678),PUGET SOUND ENERGY INC,53061051930
3C3CFFGE8F,Snohomish,Lynnwood,WA,98036,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,32,136985075,POINT (-122.281856 47.811678),PUGET SOUND ENERGY INC,53061051401
